NOT,NOT,يا أيها القائم المهدي يا أملي<LF>أرجو لقاءك في الدنيا ولطفك بي<LF>إلا مَ حتّا مَ يا مولى الأنام لقد<LF>طال انتظاري فهل للقرب من سبب<LF>#MahdiSonOfHussain
NOT,NOT,RT @USER: @USER @USER خلاص يا يسري يا اخويا طول ما انا في ظهرك يبقا بطنك بخير 😂😂😂
NOT,OFF,#جعل_مايهايط_غيرك_يالشامخ<LF>كفووووووووووووووو يا الشامخ يا حارقهم<LF>انت من يفتخر بإنتصارك اما غيرك فعليهم ان يفتخروا بإنتصار غيرهم..
NOT,NOT,RT @USER: الموضوع محبط جداً منهم الصراحه بس أعتقد الموضوع مش بإيديهم اللي هو يا تغني يا تتمنع عن حفلاتك بقى خلاص و إختار إنت سكتك URL
OFF,NOT,@USER بابه الخرة المجرم صدام صار في خبر كانه .. الوحيدة الي تعيد اسمه وخبره هو انتي !!! عجيب خرة على صدام.. مو وله ومات الى جهنم وبئس المصير .. خلص .. حسه شنو كل شي معفن بالعراق بعد ١٦ سنه من القضاء على صدام هو منه؟؟؟؟ لو من الجيفه الي اجويه ورائه ...
NOT,NOT,اللهم يا موءنس كل وحيد ويا صاحب كل فريد ويا قريبا غير بعيد ويا غالبا غير مغلوب يا حي قيوم يا ذا الجلال والاكرام ارحم والدي واسكنهم جناتك
NOT,NOT,يا ربب يا رب عجل علينا URL
OFF,OFF,@USER @USER كسمك لكسم امك لكسم اللي ميكسمش كسمك لكسم الهلال يا شوال يا ابن العرص URL
NOT,NOT,ذا الفتره يا انا يا النوم يا درجاتي...
NOT,OFF,يا عفوك يا الله شمسوين حتى كل يومين منخفض
NOT,NOT,@USER و انت طيب يا حودة يا غالي❤<LF>حلوة البلالين 😂🙈🎈🎊🎉
NOT,NOT,RT @USER: محري بالخير يا مزن نشا يا حلو عقب الوسم رجع السحاب
NOT,NOT,@USER @USER @USER يا حرب يا حرب الدول <LF>بطله والله
NOT,NOT,الليلة ليلة الابطال يا سادة و يا رب الكتلان يجبروا بخاطري بقي😂♂‍🤦♂‍🤦♂‍🤦💔💔
NOT,NOT,@USER يا حلوك و يا حلو صوتك💞💞
NOT,NOT,RT @USER: يا تسكتو يا الحفلة مشروحة😭😭😭😂😂😂😂 URL
NOT,NOT,@USER دا وقتك يا ابن النادي يا عظيم كلنا وراك وثقتنا فيك كبيره يا هيما ☝️❤🇦🇹
NOT,NOT,RT @USER: مقام سيدة خولة بنت الحسين (ع)❤️<LF>السَّلامُ عَلَيْك يا خولة يا ابنة السبط الشهيد ؛ وابنة القتيل الفريد والإمام المجيد.ال…
NOT,NOT,يا حلو صبّح يا حلو طل، يا حلو صبّح نهارنا فُل🤩♥️.<LF>*لما أصحى من النوم مروّقة بخاف من حالي 😅🏃🏻‍♀️.
NOT,NOT,اللهم وفق وييسر وأعن زملائي في امتحانات الماجيستير والدكتوراة... يا رب تنجح يا تتح 😂🙈😎
NOT,NOT,RT @USER: @USER @USER لأ يا دقوك يا دقوك مافيها اتنين دي
OFF,NOT,يا تقل دمك يا مدحت يا شلبي
NOT,NOT,عااادي يا معلم يا معلم يا معلم ياا معلم عاااادي
NOT,NOT,RT @USER: الحمد لله ❤️ يا رب يا كريم يا رحيم. يا واسع العطاء. شكراً يا رب. الحمد لله ..
NOT,NOT,اللهم يا قوي يا جبار يا من لا إله غيرك ارحم أبي وهالة المرواني اللهم ارحمهم حتى لا يبقى من الرحمة شىء اللهم اجعلهم من اهل الجنه بلا حساب ولا سابق عذاب اللهم اجعل قبورهم روضة من رياض الجنه اللهم افسح في قبورهم و انرها اللهم انقلهم من ضيق اللحود ومراتع الدود إلى جناتك جنات الخلود.
NOT,NOT,RT @USER: اللهم يا مغير الاحوال والاقدار يا من تقول للشيئ كن فيكون : أسالك بعظمتك و قدرتك ان تشفي جدتي 🤲🏽💙
NOT,NOT,يا بعيد الدّار يا جار الشعور..
NOT,NOT,RT @USER: @USER يا منون يا قمر انا والله بحبك جدا ومستنية الاجازة علشان اشوفك ♥
NOT,NOT,الوراثة عند الأجانب بتكون بالعيون او بالملامح <LF>عنا الحمدلله يا سكري يا ضغط يا قولون عصبي يا صلعة يا ديون 🌚
NOT,NOT,RT @USER: يا عمري يا بعد كل الدراسات🔥🔥 URL
NOT,NOT,يا حنون الملامح .. يا أمان السنين <LF>يا ارتكازي واحتياجي ياحبيبي يا أبوي❤️
NOT,NOT,ساعات بنكمل عشان مينفعش نوقف ونسيب كل حاجه! حتي لو المكان مش عاجبنا او الوضع مش علي هوانا بس مينفعش نرجع طريق اخترنا نبدأه ومشينا فيه.. صحيح معرفناش وقتها ان الطريق ده هيبقي متعب وصعب بس نكون اد قرارتنا بقي ونتحمل ونواجه اصل مينفعش نقعد وسط الطريق ونعيط يا نكمل يا نكمل بس كده♥
NOT,NOT,يا حلاوتك يا فايزه لمن تبئي عايزه 🤣
NOT,NOT,يا أغلى من أيامي يا أحلى من أحلامي ..
NOT,OFF,@USER @USER @USER @USER يا تخليك قد كلامك، يا تخلي كلامك على قدك
NOT,NOT,جمهور الليفر.. مو صلاح مو صلاح <LF>جمهور الزمالك.. ادلع يا عمر ادلع يا عمر 😂😂
NOT,NOT,@USER @USER @USER هههههههه يا حبيلكم يا خضر ويا ناصر 💙🖤
NOT,NOT,يا أعظم يوم ، يا أحلى خريج بالحياة ،<LF>(فيصل)💛.
NOT,NOT,@USER كله من فيرجسون .. عودكوا ان الكورة يا مكسب يا مكسب بردو .. يلا ان شاء الله ينصلح حالكو
OFF,NOT,RT @USER: فعلا الحرب في قلوب الأمهات <LF>ربي يرحم شهدائنا ويصبر أمهاتهم<LF>حسبي الله ونعم الوكيل فيك يا حفتر يا ويلك من ربي
NOT,NOT,@USER تعيشين و تسلمين .. يا شمس و يا شمس .. لا لا لا تغيبي ☺️🌹
OFF,NOT,RT @USER: الدكتور في العلاقات الدولية إبراهيم الخراز من طرابولوس يمسح بكرامتكم الارض يا ذيول الابدية و يا عديمي الشرف يا شيالة العسل و…
NOT,NOT,RT @USER: انتبه من طيحةٍ ماعاد منْها قومه <LF> وانتبه من قومةٍ مجلاسك ابرك منْها <LF> المواقف تمّسك الرجال من حلقومه <LF> يا يداحمها بجنبه ، يا يج…
NOT,NOT,@USER يا هلا وغلا علومك يا حلو
OFF,NOT,تي عليا اليمين والطلاق من الوليه الي مزال ماجت ومانضني تجي ما فلق امنا الا الأشكال الي كيفك يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي يا فسواي URL
NOT,NOT,مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان <LF>مالك دخل يا روان.....
OFF,NOT,هذا اللي يبونه الخنازير<LF>يبون مدرب يراعي مشاعر اللاعبين ويشتغل طبيب نفسي ويحاول يداريهم بدل ما يعترف بالاخطاء الفردية اللي صارت، لا ومجدد عقودهم 😭<LF>والله ما يستاهلونك يا مورينيو يا بعد قلبي اوهمتهم أنهم يملكون عناصر تقدر تنافس في أوروبا وهم ما يسرحون مع الغنم URL
NOT,NOT,RT @USER: كانت أيام يا وطني<LF>زي الأحلام يا وطني 🎶
NOT,NOT,@USER الي ماشي بهالبلد يا مطاعم يا تصافي..و برضو انت و حظك..صرلنا سنتين عم نشاور عقلنا نسكر شغلنا الي حطينا فيه كل قروشنا...الله يباركلك فيهم وان شالله اية الرزق
NOT,NOT,@USER يا الله يا الله يا حي يا قيوم يا منتقم يا جبار اللهم عليك بأعداء دينك وأعداء عبادك فإنهم لا يعجزونك<LF>طغوا وبغوا وأفسدوا وأنت على كل شيء قدير...<LF>اللهم تول أمر إخواننا في الشام ولا تكلهم إلى أنفسهم أو لأحد من خلقك طرفة عين ولا أقل من ذ
NOT,NOT,ربنا يديم الضحكة الحلوة علي خدودك يارب<LF>يا دكتور يا محترم يا فلسطيني يا حر<LF>يا زملكاوي يا آصيل ✌️🇪🇬💜🇵🇸<LF>نهارك صن داونز بكل ما تحمله الكلمة🖐️😂 URL
OFF,NOT,يا صبر الأرض عليك يا مدرب يا حثاله المشكلة يدفعون ملايين لمدرب سبااااااك
NOT,NOT,@USER حبيبي يا اخويا وانت طيب يا صاحبي❤❤❤
NOT,NOT,الصمله يا عميد اسيا يا كبير المملكه
NOT,NOT,@USER يا رب يا اختي يا رب 🙈🙈❤️ جايبة مقاس ١ و لا .٥ ؟؟ 😁
OFF,OFF,RT @USER: يا قوميز يا بابا حسين يلعب كورة من يوم كانت امك تبيع فصفص ودقة
NOT,NOT,و أسافر للفرح .. ألقاه مأساتي <LF>أنا وحدي <LF>جهاتي كلها ضدي <LF>أنا وحدي <LF>و صمتـي يبكي من ردي <LF>و غير الـصمت .. ما عندي <LF>و مهما الـوقت .. عاندني .. وتحداني <LF>كأن الـوقت في وقتـي ثواني<LF>يا حب .. يا شوق .. يا ليل العسر <LF>راضي بحياتي .. تنتهي .. أو تستمر
NOT,NOT,@USER معك في كل مكان يا ذوالنون يا ود عمك ✌🏿✌🏿✌🏿
NOT,NOT,RT @USER: يا تموت وانت واقف.. يا تعيش وانت راكع ..
NOT,NOT,ووووووووه يا معذبني يا معذبهم يا مهبلني يا مهبلهم 🔥👑
NOT,NOT,RT @USER: يا حب قلبي يا غلاه وعلاجه<LF>حبك دوا ما لي سوى حبك علاج .
OFF,OFF,منك لله يا عامر يا حسين انت واتحاد الزفت
NOT,NOT,RT @USER: #نعم_انا_نصراوي_للابد سجل يا تاريخ واشهد يا زمن اني نصرواي للابد @USER @USER @USER URL…
NOT,NOT,يا مجنني يا ميسي ⚡⚡❤🔥 URL
NOT,NOT,يا اعز الناس ، يا اغلى الناس 💓
NOT,NOT,عن جابر بن عبد الله -رضي الله عنهما-، قال: كنا في غزاة -قال سفيان: مرة في جيش- فكسع رجل من المهاجرين رجلاً من الأنصار، فقال الأنصاري: يا للأنصار، وقال المهاجري: يا للمهاجرين، فسمع ذلك رسول الله -صلى الله عليه... URL
NOT,NOT,بعدك على بالي يا قمر الحلوين يا زهرة بتشرين يا دهبي الغالي بعدك على بالي يا حلو يا مغرور يا حبق و منتور على سطح العالي 💙💙💙
NOT,NOT,@USER يا جوجو يا قمر يارب واياكي يا حبيبتي ❤❤😍😍
NOT,NOT,يا النسمة الحانية .. يا الأغلى ): URL
NOT,NOT,RT @USER: ياليت تدري يا ليتك غلاك يا كبر قدره💗
NOT,NOT,@USER وانتي طيبه يا مروه يا رب 🌹🌹🌹🌹🌹 <LF>يالا هما بنات اليومين دول مفتريين كدا ودايما نيتهم مش تمام 😭
NOT,NOT,@USER يا زمن جاسي يا زمن جاسي روفبي 💔🚶‍♂️
OFF,NOT,@USER يستقيل ! مع ورور ، يروح عند الكفيل حمود ريكي . متى تتعايشون ، يا بقر مع الرأي الآخر ؟ هؤلاء رجال أحرار لا يتوافقون سياسيًا مع الطرف الآخر ، أين المشكلة ؟ <LF>الوطن يتسع للجميع . سياسة يا معنا يا ضدنا ولتْ إلى غير رجعة ، إلا إذا تريدونها حكم عصاب
OFF,NOT,RT @USER: يلا يا بابا يلا يا حبيبي بيتك بيتك #للخلف_درر_يا_زمالك
NOT,NOT,"يا رب يا كريم يا قادر لحظات تهلل الوجه مثل اللي خلّت فهد المساعد يقول:""أحسب أيام العمر راحت عليّا، مادريت ان أجمله فيما تبقى"".. آمين"
OFF,NOT,يا سااااااتر يا ثقة لاعبين أجاكس !!!! جوا منطقة جزاء اليوفي كعب يوصل للاعب مواجه للمرمى بدل ما يسدد يمررها للاعب ثاني متمركز صح و يسدد تطلع ركنية !! يخرب بيتهم مع ان أغلبهم صغار
OFF,NOT,@USER يا ريتك ماكبرت يا فقري يا منوفي 😂
NOT,NOT,@USER @USER يارب يارب يارب يا كريم يا رحيم يا قيوم يا ذا الجلال والإكرام اللهم اني اسالك من فضلك ورحمتك فإنها لا يملكها إلا أنت يارب أجعل لي نصيب مع الدكتور محمد بالسيارة و افوز بكود لمدة سنه يارب يا كريم
NOT,NOT,@USER يا بنتي بقى يا بنتي 😂😂😂
OFF,OFF,بسيرش على باندانا على سوق ولقيت بونيهات الطرح دي ب ٤٠ جنيه وطالع وفيلينج لايك اه يا دعاة الحجاب يا ولاد الكلب يا خنازير
NOT,NOT,@USER ايه يا شيخة ايه ده يا شيخة
NOT,NOT,RT @USER: يا صباح الشوق يا الرمش الحنون ..<LF>يا مغرّبني عن اوطان اْلعنا ..؛ 💫<LF>ينتشي كاسي ويشربني الجنون ..<LF>كل يوم ان قلت لي صبحك أنا ..
NOT,NOT,RT @USER: حياتي صارت يا أنطر امتحان يا نتيجة امتحان يا خايف من امتحان يا قاعد أفكر ادرس شلون للامتحان يا طالع متضايق من امتحان ، خل…
NOT,NOT,يا نور ليلي.. يا قلبي البعيد ليـشش ما جيت تعاااتب ...💔
